idx,Expression,Fitness,OOB Fitness,Length,Depth
176,ts_max_20(volume),0.3144189082013545,0.3974779829463784,2,1
117,"max(vwap, volume)",0.31114442297606015,0.4525878525824072,3,1
143,"sub(open, volume)",0.3110507732485415,0.45259780274290107,3,1
173,"max(low, volume)",0.31103534447963505,0.4525878912106085,3,1
78,"max(open, volume)",0.3110353246764895,0.45258785033538934,3,1
137,"max(ts_std_20(sqrt(close)), volume)",0.3096980926472888,0.4525868789059632,5,3
139,"ts_max_40(max(ts_argmin_20(high), volume))",0.29775838322107756,0.31671124285827634,5,3
1,"add(ts_min_60(vwap), ts_max_40(volume))",0.29701974001409664,0.3188467564292412,5,2
75,"add(ts_argmax_20(open), ts_max_40(volume))",0.296819809421186,0.3188413688578244,5,2
101,ts_max_40(volume),0.2968196756673774,0.3188412661654436,2,1
27,"ts_max_40(max(open, volume))",0.29681863619958493,0.31884123491758876,4,2
98,"ts_max_40(max(low, volume))",0.2968186344622121,0.3188411627828532,4,2
119,"ts_max_40(max(open, ts_max_40(max(open, volume))))",0.2690995949086741,0.2451935251775936,7,4
47,ts_max_40(ts_min_5(volume)),0.25898701355284165,0.2822619424703875,3,2
147,"ts_correlation_5(close, volume)",0.25779283337544806,0.49035846581949566,3,1
178,"mul(open, volume)",0.2537434868903478,0.40495046147499264,3,1
21,ts_min_5(volume),0.24036671801115247,0.367882091528363,2,1
86,"delta_20(ts_max_40(max(open, volume)))",0.22882620684437122,0.29216250235657765,5,3
80,ts_std_5(high),0.1994209846785933,0.2619683335235601,2,1
88,"add(ts_rank_60(ts_mean_10(volume)), add(delta_60(volume), ts_rank_40(low)))",0.19786898067598535,0.28779962798418324,9,3
77,"delta_40(max(open, volume))",0.1978687266387053,0.2878008166397712,4,2
52,"delta_60(max(open, volume))",0.1978687266387053,0.2878008166397712,4,2
26,delay_20(delay_5(volume)),0.1970760576006226,0.22841887098988262,3,2
146,ts_max_40(ts_argmin_20(close)),0.1928248688389625,0.21669371750866515,3,2
5,"add(ts_rank_60(ts_mean_10(volume)), add(delta_60(high), ts_rank_40(volume)))",0.1870373050557454,0.2808286548280719,9,3
30,ts_argmin_60(ts_max_60(volume)),0.18560803314633856,0.10364536606066531,3,2
8,ts_std_5(vwap),0.18071072670895016,0.2271309880644936,2,1
118,"ts_max_40(ts_correlation_20(open, volume))",0.16282401784326223,0.19091475681943937,4,2
41,delta_20(close),0.15922583195294662,0.2089077491665178,2,1
193,"ts_correlation_10(open, low)",0.15525447974597487,0.11222073598725496,3,1
76,ts_std_40(ts_max_5(high)),0.1437125096416833,0.15162095949182114,3,2
92,"sub(ts_rank_60(ts_mean_10(volume)), mul(delta_60(high), ts_rank_40(volume)))",0.13946902726329322,0.2751564643054233,9,3
28,"ts_min_10(mul(ts_mean_60(volume), ts_min_60(close)))",0.1363118822455787,0.20030701581569782,6,3
22,delta_60(delta_40(close)),0.12980996194949326,0.16308765693969904,3,2
36,inv(ts_rank_60(low)),0.12957082083456906,0.2490513955681697,3,2
44,delay_20(ts_mean_40(ts_std_5(high))),0.1262079601382448,0.13987194632800604,4,3
20,inv(ts_argmax_20(open)),0.12600249400771824,0.2698659921359275,3,2
66,delta_20(ts_min_5(volume)),0.11714641256461515,0.20346486754721976,3,2
11,ts_min_40(ts_rank_20(ts_max_20(high))),0.11462039065061938,0.1916445639161886,4,3
6,"ts_correlation_20(delta_60(ts_std_60(close)), inv(delta_5(close)))",0.11449786771171125,0.16648191239731977,7,3
38,ts_rank_60(ts_std_5(open)),0.10870613733431328,0.12247435656162071,3,2
18,ts_std_10(ts_max_10(delay_60(low))),0.10492932634414844,0.07411761194397315,4,3
45,ts_min_10(ts_rank_40(volume)),0.1006701699147385,0.1986979952853931,3,2
125,"ts_correlation_60(open, volume)",0.09493859899369121,0.12068963717009741,3,1
10,ts_argmin_10(ts_argmax_10(delay_1(vwap))),0.09359973407419953,0.032234880211585805,4,3
0,ts_argmax_20(delay_20(ts_argmin_40(close))),0.09007208598558823,0.06883424288471081,4,3
161,"ts_correlation_5(open, volume)",0.0829790318272983,0.1931837456795599,3,1
29,inv(delay_20(low)),0.08171522041873135,0.09608089220584655,3,2
182,"max(vwap, high)",0.07971863685257712,0.13736187522899668,3,1
35,scale_1(high),0.07966603436854884,0.13735266535573445,2,1
19,"max(close, high)",0.07966603369417595,0.13735266535573445,3,1
189,"max(open, high)",0.07966603369417595,0.13735266535573445,3,1
46,ts_argmax_60(low),0.07942070820379327,0.20102091068720584,2,1
62,"rank(max(open, close))",0.07832340538660006,0.13547750729627123,4,2
34,abs(vwap),0.0765360177341075,0.13317037984972788,2,1
153,"max(vwap, open)",0.07580879313638698,0.13278261989668247,3,1
187,ts_max_60(close),0.07180363647918317,0.10840002783183027,2,1
32,scale_1(low),0.0717500971394232,0.12644225339633042,2,1
12,"div(ts_std_40(ts_correlation_40(close, volume)), delta_10(delay_60(open)))",0.07087311081103363,0.036344014630610176,8,3
24,ts_max_10(low),0.06992356518874399,0.12196110473694613,2,1
104,"delay_1(max(open, low))",0.06836016462239242,0.12078594664206262,4,2
14,ts_argmax_20(ts_min_10(ts_std_10(volume))),0.06671548764917093,0.1557842586508645,4,3
31,"ts_min_5(max(open, high))",0.06555240891282206,0.12027644194310734,4,2
9,ts_std_40(ts_rank_5(scale_1(open))),0.06511663975675808,0.15296509114108386,4,3
16,"delta_60(max(ts_mean_40(low), ts_correlation_40(low, volume)))",0.06397307555372918,0.1525950471232393,7,3
13,delay_20(ts_max_5(ts_min_5(open))),0.06353141370251314,0.08180200618000731,4,3
42,ts_std_20(ts_rank_20(delay_2(low))),0.06219363726132776,0.10235260109019864,4,3
170,ts_rank_20(ts_argmin_60(close)),0.06193613896331962,0.03580664996998338,3,2
37,delay_5(open),0.061486552076573234,0.10731307294678528,2,1
4,ts_mean_5(ts_mean_5(low)),0.060870577548771995,0.11103953796905178,3,2
15,"ts_mean_60(ts_correlation_10(vwap, open))",0.05812107191613713,0.02053677982140952,4,2
40,rank(ts_max_5(delay_40(high))),0.057900466617769084,0.07079007213498004,4,3
97,delay_40(high),0.05677689036656153,0.0729776341214114,2,1
25,delay_1(ts_mean_20(low)),0.05474916421913643,0.10172861200006494,3,2
17,ts_min_10(low),0.05396519343836213,0.10554406098021649,2,1
7,ts_min_20(high),0.04969240364009037,0.09878773722283579,2,1
3,"ts_mean_40(div(low, volume))",0.041011657905915974,0.055971069405168716,4,2
39,ts_min_40(high),0.03879610613377959,0.08525633008316139,2,1
23,log(ts_min_40(power_3(close))),0.03775899448219453,0.08475464209440452,4,3
33,ts_min_40(low),0.03621839480148224,0.0831133212251044,2,1
43,ts_argmax_10(ts_argmin_10(ts_std_60(low))),0.028684352472652323,0.007301613750449758,4,3
2,ts_std_5(delay_40(ts_argmin_10(low))),0.02790714913805477,0.14898409026622,4,3
